"depth_bin","oxygen","chlorophyll_max"
10,240.383528105131,40.3482776515585
20,240.406692721039,37.5972849607701
30,229.736452848355,37.7414533832576
40,213.704409081058,37.7089204052883
50,200.366759107887,37.5131304606723
60,190.274655983773,36.0631555491162
70,180.24170382469,36.1734209201034
80,171.136305976868,35.9287919523513
90,162.6448872365,36.8244909760323
100,150.985503085573,36.4712209270433
110,134.975182698125,35.3054930429522
120,129.758714982472,36.6639913885079
130,123.067836285936,36.6719636363636
140,116.394719754861,36.8264691684951
150,109.933039748637,36.8526024379164
160,105.979820481467,36.5548716087123
170,100.053370943622,36.0780937640197
180,95.6784302173746,36.8431450188186
190,91.563685203728,37.0076121851652
200,87.6994491355357,36.6905745600494
210,84.2047563121029,36.5406640332302
220,80.5684532895291,36.2124638193918
230,76.3767925824176,36.0961198489011
240,71.5240646294345,35.8502707235687
250,67.3941452376776,35.8828447640765
260,64.2801146829614,36.1534330499469
270,61.1154002959352,35.8870701540604
280,57.759248504292,36.3600084973554
290,53.6030340889276,35.802364603313
300,50.0891683274314,38.3225151939389
310,47.2423746419545,37.5042673125527
320,44.2318027770165,35.3653425596054
330,41.8861759293003,35.4572715925656
340,39.9898555199267,35.7317641777371
350,38.3627607557882,37.2747788521245
360,35.5418536676647,34.7768125935629
370,33.7621050367963,34.4835161999427
380,31.8130741374394,34.8555431993157
390,29.3326529389386,34.4621333460148
400,27.0832705613024,34.2835267084958
410,26.0177213943827,34.9595368012282
420,24.6377476523477,34.4259155844156
430,23.7347513980681,34.4970415861718
440,22.2752766882329,34.4298434088152
450,20.9749980215649,34.5610938767435
460,19.7137907209279,34.0637672232777
470,18.6310080580177,34.3442094077357
480,17.327478225725,34.2475890673942
490,16.1009399363564,34.335274363564
500,13.5796676081343,29.4697277275662
510,13.3946224809235,33.371244961847
520,12.5156560846561,33.6874532627866
530,12.7651383414263,34.395759973341
540,12.040720747946,34.4691390121825
550,11.5973995297345,35.2609003624963
560,10.8704816064799,36.7341394982563
570,10.3233449708128,36.2213202739111
580,9.82083291485962,36.5332309974892
590,9.15093451864701,35.1532616652212
600,8.65137810475162,35.5015135664147
610,8.75907953506595,33.0588050150189
620,9.12807978723404,44.366897606383
630,8.73768282548476,42.855459833795
640,8.57206632653061,43.5488086734694
650,8.37912451361868,44.8056977950713
660,8.17078720626632,45.3198798955614
670,8.06908333333333,42.4198240740741
680,8.15304485488127,42.5634353562005
690,8.17321722365039,44.101294344473
700,8.19604623513871,45.0824451783355
710,8.29576819407008,44.5712061994609
720,8.41572382198953,45.567640052356
730,8.44390516039052,45.5382412831241
740,8.45584168865435,43.4418522427441
750,8.61803846153846,44.2480888594164
760,8.91884727755644,43.5584873837981
770,9.14228571428571,43.7683822751323
780,9.36746049046322,43.619340599455
790,9.63659594594595,45.608672972973
800,9.86149166666667,43.5762902777778
810,10.1821432360743,44.0605358090186
820,10.468772264631,44.4582442748092
830,10.7025599455041,44.0208732970027
840,11.0716409214092,43.8344214092141
850,11.43293708166,43.6053239625167
860,11.7179986431479,43.7784491180461
870,12.0093563068921,44.6242860858257
880,12.3512357512953,45.5495077720207
890,12.6221900269542,44.2313571428571
900,13.1342599724897,44.7896767537827
910,13.6306270053476,44.7149077540107
920,14.0938165137615,43.7486998689384
930,14.6016821808511,44.1317446808511
940,15.0744093406593,43.8331057692308
950,15.6560675496689,43.8057337748344
960,16.0831043956044,44.7560728021978
970,16.283705026455,44.1627751322751
980,16.8633606340819,44.5125878467635
990,17.214757615894,44.1117231788079
1000,17.7285061728395,44.7885514403292
1010,18.1874598930481,43.5300294117647
1020,18.4596445366528,42.2748049792531
1030,19.0219437585734,44.6931906721536
1040,19.5200175,45.27496
1050,20.0131546961326,45.6435027624309
1060,20.2045708609272,43.1594450331126
1070,20.9541983914209,44.6952560321716
1080,21.6251718538566,43.5776278755074
1090,22.0399059602649,43.6558900662252
1100,22.4971751724138,43.6511020689655
1110,23.0744291553134,46.4840858310627
1120,23.3432207958922,44.0388780487805
1130,23.870812749004,43.3503253652058
1140,24.3907162921348,44.5751980337079
1150,24.7514618473896,45.151655957162
1160,25.0681244870041,44.797195622435
1170,25.6036098901099,44.930717032967
1180,26.0245919463087,43.4687758389262
1190,26.4569212598425,44.7725734908136
1200,26.9542916666667,42.9160732323232
1210,27.5193265582656,45.4458143631436
1220,27.9034804469274,43.9025810055866
1230,28.2466164199192,43.5645127860027
1240,28.9860854816825,45.2083989145183
1250,29.2393964577657,44.6838514986376
1260,29.7842924901186,44.8322859025033
1270,30.2162125874126,43.1510769230769
1280,30.898680465718,44.7420181112549
1290,31.2201513944223,44.5648964143426
1300,31.5801212903226,43.3481638709677
1310,32.0659958791209,43.378157967033
1320,32.6899787234043,43.5127553191489
1330,33.2992311688312,43.6130025974026
1340,33.4598236074271,42.3427599469496
1350,34.114416988417,45.4426435006435
1360,34.4715321944809,43.8290144546649
1370,34.9120013262599,43.2118143236074
1380,35.2692558139535,44.5165964432285
1390,35.7536513761468,43.0859764089122
1400,36.4746405063291,44.3685101265823
1410,37.2490555555556,43.4456653439153
1420,37.7809119170984,43.6670323834197
1430,38.2726653005464,41.9908565573771
1440,38.9625864276569,44.6465864276568
1450,39.2301181938911,44.2644130146082
1460,39.6112975871314,42.7234316353887
1470,39.9857275132275,44.1487896825397
1480,40.2275790849673,45.5391359477124
1490,40.7682732240437,43.9086734972678
1500,41.2320170157068,43.4032015706806
1510,41.513871927555,44.2725213454075
1520,41.7313253521127,43.5928985915493
1530,42.5439592391304,44.6144293478261
1540,43.1889122085048,45.5532510288066
1550,43.2793895274585,42.5400638569604
1560,43.5893130081301,44.8788360433604
1570,44.0741029986962,44.193109517601
1580,44.2999395973154,44.5793046979866
1590,44.8248829931973,43.7318598639456
1600,45.4522296395194,44.9985500667557
1610,46.0737613333333,44.6072253333333
1620,46.6437698519515,43.9135100942127
1630,47.2703090659341,43.2583392857143
1640,47.7078671875,44.5963828125
1650,48.3585298013245,46.6314092715232
1660,48.2228138222849,43.4795712270804
1670,48.9552939632546,42.8823910761155
1680,49.5305549597855,43.8973136729223
1690,50.1259057377049,42.9055300546448
1700,50.4889817708333,43.9730794270833
1710,51.1623395973154,45.3513530201342
1720,51.8310969945355,43.6060696721311
1730,52.280367071525,45.1497031039136
1740,52.508281134402,43.636110974106
1750,53.1151606145251,45.6591019553073
1760,53.2441648199446,43.1329667590028
1770,54.0599743243243,44.7103175675676
1780,54.7841846553966,45.2082808842653
1790,55.1235294924554,43.7667764060357
1800,55.7712805555556,44.1148569444444
1810,56.741060522696,44.0228734525447
1820,57.2867380952381,43.7589417989418
1830,58.0879425287356,42.976558109834
1840,58.7343089430894,45.2638658536585
1850,59.3193213811421,44.3426932270916
1860,59.9547691275168,44.3245570469799
1870,60.8502503401361,44.4903170068027
1880,61.3419144385027,43.3833770053476
1890,62.3659907038513,44.1580504648074
1900,62.9750842391304,45.7450027173913
1910,63.1658211488251,44.147315926893
1920,63.7077736351531,43.3898202396804
1930,64.5859946666667,44.54132
1940,65.4475561569689,43.2267415426252
1950,66.1879618104668,44.697342291372
1960,66.2501030927835,43.6645734536082
1970,66.7230161507402,44.6876366083445
1980,67.5850655526992,43.7272275064267
1990,68.2598602150538,44.3902096774194
2000,68.7910229110512,44.0407708894879
2010,69.0646185852982,45.0790471567268
2020,69.9992553191489,43.8684720744681
2030,70.5696594594595,44.9428540540541
2040,71.3720543046358,42.9924463576159
2050,72.2647394179894,44.3358465608466
2060,73.0275766621438,43.9176065128901
